timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
9709,-0.022583,-0.009033,1.005371,-0.671387,0.122070,-0.183105
9729,-0.023193,-0.007446,1.004761,-0.732422,0.000000,-0.183105
9749,-0.025635,-0.008057,1.003418,-0.671387,-0.122070,-0.122070
9769,-0.023071,-0.008911,1.004761,-0.671387,0.061035,-0.061035
9789,-0.023437,-0.007813,1.006714,-0.671387,0.122070,-0.122070
9809,-0.023560,-0.007813,1.006348,-0.732422,0.061035,-0.122070
9829,-0.022461,-0.009644,1.005249,-0.671387,0.000000,-0.122070
9849,-0.023682,-0.007813,1.005981,-0.732422,-0.061035,-0.061035
9869,-0.025146,-0.008667,1.003052,-0.732422,0.000000,-0.122070
9889,-0.024536,-0.007690,1.005615,-0.732422,0.000000,-0.122070
9909,-0.022949,-0.007813,1.004883,-0.671387,0.000000,-0.183105
9929,-0.023560,-0.007935,1.004028,-0.732422,0.061035,-0.183105
9949,-0.024048,-0.008179,1.006226,-0.671387,0.061035,-0.183105
9969,-0.023437,-0.007202,1.006470,-0.671387,0.061035,-0.183105
9989,-0.023315,-0.007935,1.004639,-0.732422,0.000000,-0.183105
10009,-0.022949,-0.008789,1.006104,-0.671387,0.000000,-0.122070
10029,-0.023193,-0.006470,1.005249,-0.671387,0.000000,-0.061035
10049,-0.022949,-0.008789,1.005005,-0.732422,-0.061035,-0.183105
10069,-0.024536,-0.008911,1.006226,-0.671387,0.000000,-0.183105
10089,-0.023804,-0.007813,1.004883,-0.671387,0.061035,-0.122070
10109,-0.023315,-0.009155,1.006348,-0.610352,0.061035,-0.122070
10129,-0.024780,-0.009766,1.005493,-0.671387,0.061035,-0.122070
10149,-0.023193,-0.007324,1.004272,-0.671387,-0.061035,-0.061035
10169,-0.023437,-0.007568,1.006714,-0.671387,-0.061035,-0.122070
